(-25.0084,1149.13)
(-25.0865,1149.06)
(-25.1647,1148.98)
(-25.2428,1148.9)
(-25.321,1148.82)
(-25.3991,1148.74)
(-25.4773,1148.67)
(-25.5554,1148.59)
(-25.6336,1148.51)
(-25.7117,1148.43)
(-25.7899,1148.35)
(-25.868,1148.27)
(-25.9462,1148.2)
(-26.0243,1148.12)
(-26.1025,1148.04)
(-26.1806,1147.96)
(-26.2588,1147.88)
(-26.3369,1147.81)
(-26.4151,1147.73)
(-26.4932,1147.65)
(-26.5714,1147.57)
(-26.6495,1147.49)
(-26.7277,1147.42)
(-26.8058,1147.34)
(-26.884,1147.26)
(-26.9621,1147.18)
(-27.0403,1147.1)
(-27.1184,1147.02)
(-27.1966,1146.95)
(-27.2748,1146.87)
(-27.3529,1146.79)
(-27.4311,1146.71)
(-27.5092,1146.63)
(-27.5874,1146.56)
(-27.6655,1146.48)
(-27.7437,1146.4)
(-27.8218,1146.32)
(-27.9,1146.24)
(-27.9781,1146.16)
(-28.0563,1146.09)
(-28.1344,1146.01)
(-28.2126,1145.93)
(-28.2907,1145.85)
(-28.3689,1145.77)
(-28.447,1145.7)
(-28.5252,1145.62)
(-28.6033,1145.54)
(-28.6815,1145.46)
(-28.7596,1145.38)
(-28.8378,1145.31)
(-28.9159,1145.23)
(-28.9941,1145.15)
(-29.0722,1145.07)
(-29.1504,1144.99)
(-29.2285,1144.91)
(-29.3067,1144.84)
(-29.3848,1144.76)
(-29.463,1144.68)
(-29.5411,1144.6)
(-29.6193,1144.52)
(-29.6974,1144.45)
(-29.7756,1144.37)
(-29.8537,1144.29)
(-29.9319,1144.21)
(-30.01,1144.13)
(-30.0882,1144.05)
(-30.1663,1143.98)
(-30.2445,1143.9)
(-30.3226,1143.82)
(-30.4008,1143.74)
(-30.4789,1143.66)
(-30.5571,1143.59)
(-30.6353,1143.51)
(-30.7134,1143.43)
(-30.7916,1143.35)
(-30.8697,1143.27)
(-30.9479,1143.2)
(-31.026,1143.12)
(-31.1042,1143.04)
(-31.1823,1142.96)
(-31.2605,1142.88)
(-31.3386,1142.8)
(-31.4168,1142.73)
(-31.4949,1142.65)
(-31.5731,1142.57)
(-31.6512,1142.49)
(-31.7294,1142.41)
(-31.8075,1142.34)
(-31.8857,1142.26)
(-31.9638,1142.18)
(-32.042,1142.1)
(-32.1201,1142.02)
(-32.1983,1141.94)
(-32.2764,1141.87)
(-32.3546,1141.79)
(-32.4327,1141.71)
(-32.5109,1141.63)
(-32.589,1141.55)
(-32.6672,1141.48)
(-32.7453,1141.4)
(-32.8235,1141.32)
(-32.9016,1141.24)
(-32.9798,1141.16)
(-33.0579,1141.08)
(-33.1361,1141.01)
(-33.2142,1140.93)
(-33.2924,1140.85)
(-33.3705,1140.77)
(-33.4487,1140.69)
(-33.5268,1140.62)
(-33.605,1140.54)
(-33.6831,1140.46)
(-33.7613,1140.38)
(-33.8394,1140.3)
(-33.9176,1140.23)
(-33.9958,1140.15)
(-34.0739,1140.07)
(-34.1521,1139.99)
(-34.2302,1139.91)
(-34.3084,1139.83)
(-34.3865,1139.76)
(-34.4647,1139.68)
(-34.5428,1139.6)
(-34.621,1139.52)
(-34.6991,1139.44)
(-34.7773,1139.37)
(-34.8554,1139.29)
(-34.9336,1139.21)
